Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,10uF,
C3,0805,1,1uF,
"D1, D2, D3",D_SOD-323,3,1N4148WX-TP,
F1,fuse,1,3557-2,
J2,Molex_Micro-Fit_3.0_43045-0812_2x04_P3.00mm_Vertical,1,43045-0812,
Q1,SOT-23,1,DMN2056U,
"Q2, Q3, Q4",SOT-23,3,DMP2035U,
"R1, R3, R4, R5, R6",0805,5,10k,
R2,0805,1,1.8M,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,LM358DR2G,
